,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,71,0,0,18,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Bathroom|Showering,0,2581,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0
Bathroom|Using_the_sink,0,353,528,1,0,0,4,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,0,122,135,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0
Bedroom|Cleaning,0,0,0,0,10,21,1,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,246,24,18,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,0,9,3010,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,11,0,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,226,66,0,0,0,0,1,0,10,2,0,0,0,11,1,0
Entrance|Leaving,0,0,0,0,0,0,0,0,92,96,0,0,0,2,0,0,5,1,0,0,0,4,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,1,3,40,4,1,12,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1780,5,41,0,0,11,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,32,61,160,12,9,7,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,12,5,957,8,7,10,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,4,8,48,64,51,1,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3454,31,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,8,3,2,14,132,1743,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4077,0,0,0,3,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76,6,0,0,0
Office|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,6,0,52870,0,3,0,0
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1804,0,0,0
Staircase|Going_down,0,4,0,0,0,0,0,0,26,2,0,0,1,1,3,1,28,5,0,0,0,78,10,0
Staircase|Going_up,0,1,0,0,0,0,0,0,18,3,0,1,0,7,9,13,45,26,0,0,1,65,18,0
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,7,0,0,0,0,3,1,2,3,11,0,1,0,2,0,102
