,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0
Bathroom|Showering,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,0,7,0,0,0,0
Bathroom|Using_the_sink,0,165,0,0,0,0,209,0,0,0,0,0,0,0,0,7,0,326,0,196,0,0,0,0
Bathroom|Using_the_toilet,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0
Bedroom|Cleaning,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,83,17,206,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0
Bedroom|Napping,0,1,1,0,0,0,2649,10,0,0,0,0,0,0,0,0,2,0,0,287,19,0,0,0
Bedroom|Reading,0,0,0,0,0,18,0,3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,48,0,0,0,0,8,0,6,0,0,0,0,1,0,0,3,248,0,0,0,0,0,0
Entrance|Leaving,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,133,0,6,0,0,0,0
Kitchen|Cleaning,0,0,0,0,0,0,7,0,0,0,0,25,0,12,0,0,16,0,0,4,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,3,0,0,0,0,1763,0,28,0,0,6,0,0,2,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,118,0,134,0,0,40,0,0,14,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,125,0,825,0,0,22,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,174,0,0,15,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,1949,438,0,0,63,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,274,0,0,0,0,45,0,105,0,17,1328,0,0,52,0,0,0,0
Living_room|Watching_TV,0,715,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,3369,0,23,0,0,0,0
Office|Cleaning,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,71,0,0,0,0
Office|Computing,0,17,0,0,0,0,323,0,0,0,0,0,0,0,0,0,2,33,0,52978,0,0,0,0
Office|Watching_TV,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1817,0,0,0,0
Staircase|Going_down,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,88,0,43,0,0,0,0
Staircase|Going_up,0,9,0,0,0,0,43,0,0,0,0,0,0,0,0,8,17,86,0,6,0,0,0,0
Toilet|Using_the_toilet,0,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,21,0,46,0,0,0,0
