,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,19,0,40,9,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2663,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Bathroom|Using_the_sink,1,430,287,78,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,27,0,0
Bathroom|Using_the_toilet,0,0,15,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
Bedroom|Cleaning,0,0,1,0,0,37,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Dressing,1,0,5,1,0,270,12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Napping,1,0,8,0,0,17,2952,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bedroom|Reading,0,0,0,0,0,41,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,51,8,0,0,0,0,0,136,154,0,0,0,0,0,12,0,4,0,0,0,1,0,0
Entrance|Leaving,0,14,1,6,0,0,0,0,14,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kitchen|Cleaning,0,0,12,0,0,0,0,0,0,0,0,0,0,41,0,0,15,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,9,0,0,1,0,0,0,0,0,1724,56,56,0,0,14,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,5,2,0,0,0,0,1,0,0,0,163,111,0,7,29,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,1,0,0,0,0,0,0,0,0,1,1,932,0,13,78,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,58,114,0,0,0,0,0,0,0
Living_room|Computing,0,0,56,2,0,0,0,0,0,0,0,0,0,0,0,3325,82,0,0,0,0,0,0,0
Living_room|Eating,0,0,183,43,0,0,0,0,0,0,0,2,0,0,0,408,1160,0,0,0,0,0,0,0
Living_room|Watching_TV,0,4,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3908,0,0,0,0,2,1
Office|Cleaning,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,62,0,3,0,0
Office|Computing,0,2,7,25,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,53211,0,18,2,3
Office|Watching_TV,0,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,137,1721,10,0,0
Staircase|Going_down,0,37,24,16,0,0,0,0,22,0,0,0,3,0,0,6,15,3,0,1,0,27,0,0
Staircase|Going_up,0,30,31,20,0,0,0,0,12,2,0,0,0,0,0,17,15,29,0,0,0,8,2,24
Toilet|Using_the_toilet,0,11,55,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,0,0,0,0,0,27
