,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,58,0,20,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2602,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Bathroom|Using_the_sink,10,64,850,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0
Bathroom|Using_the_toilet,3,0,27,222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bedroom|Cleaning,0,0,0,0,28,11,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,256,7,10,0,0,0,0,0,0,0,0,7,0,0,16,6,0,0,1
Bedroom|Napping,0,0,0,0,0,17,2961,2,0,0,0,0,0,0,0,0,3,0,0,7,1,0,0,0
Bedroom|Reading,0,0,0,0,0,24,0,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,302,19,0,0,0,0,0,0,0,2,0,0,0,3,1,0
Entrance|Leaving,0,0,0,0,0,0,0,0,38,146,0,0,0,0,4,0,7,2,0,0,0,3,1,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,39,0,0,16,23,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,1,0,0,0,0,2,1799,53,3,2,0,3,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,1,0,0,0,0,0,8,236,22,8,10,1,0,0,0,0,0,1,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,3,29,897,30,0,2,0,0,2,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,5,0,0,11,167,24,11,0,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,1,0,0,0,0,0,6,0,0,69,3407,5,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,1,21,1,3,57,8,1782,0,0,1,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3968,0,0,0,2,3,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,18,1,0,0,0
Office|Computing,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6,0,1,53269,12,3,6,0
Office|Watching_TV,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92,1694,0,0,0
Staircase|Going_down,0,2,0,0,0,0,3,0,3,1,0,0,3,0,7,1,5,6,0,1,1,100,15,0
Staircase|Going_up,0,3,1,0,0,0,0,0,1,1,0,0,2,0,2,0,8,3,0,0,0,10,131,1
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,5,0,0,0,105
