,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2319,292,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Using_the_sink,93,139,576,26,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,9
Bathroom|Using_the_toilet,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bedroom|Cleaning,6,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bedroom|Dressing,0,0,7,1,0,193,9,91,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,16,0,17,2961,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,4,0,3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,4,0,0,0,0,252,53,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Entrance|Leaving,7,0,0,0,0,0,0,0,44,141,1,0,0,0,0,0,0,1,0,0,0,1,2,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,51,0,0,14,1,0,13,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1741,14,36,0,1,12,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,46,104,91,9,6,25,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,20,9,7,893,12,3,30,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,6,0,0,2,61,53,67,0,0,0,0,0,1,0
Living_room|Computing,0,0,56,0,0,0,0,0,0,0,0,0,0,0,30,3147,133,0,0,0,0,0,1,0
Living_room|Eating,77,0,33,0,0,0,0,0,0,0,1,3,1,8,12,109,1623,0,0,0,0,0,0,8
Living_room|Watching_TV,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4105,0,0,1,7,14,1
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,59,4,0,0,0
Office|Computing,0,3,5,18,0,2,1,0,0,0,0,0,4,0,0,0,4,0,4,53183,8,0,0,1
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1786,0,0,0
Staircase|Going_down,1,6,16,1,0,4,0,0,3,2,1,0,2,0,4,4,7,9,0,1,0,96,12,1
Staircase|Going_up,10,36,33,9,0,0,0,0,5,2,1,0,0,0,6,24,16,9,0,0,0,0,34,7
Toilet|Using_the_toilet,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,2,59
