,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Bathroom|Showering,0,2291,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,7,0,3,0,0
Bathroom|Using_the_sink,0,301,158,0,0,0,159,1,0,0,0,0,0,0,0,59,1,60,0,183,0,2,0,0
Bathroom|Using_the_toilet,0,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,206,16,0,0,0
Bedroom|Cleaning,0,0,0,0,18,19,6,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
Bedroom|Dressing,0,1,4,0,1,4,30,252,0,0,0,0,0,0,0,1,1,2,0,7,0,0,0,0
Bedroom|Napping,0,0,0,0,0,0,2958,4,0,0,0,0,0,0,0,39,5,2,0,15,2,0,0,0
Bedroom|Reading,0,0,0,0,0,8,1,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,32,0,0,0,0,0,0,116,107,0,0,0,0,0,0,4,40,0,11,0,1,0,0
Entrance|Leaving,0,7,0,0,0,0,0,0,27,149,0,0,0,0,0,0,0,0,0,4,1,0,0,0
Kitchen|Cleaning,0,0,0,0,0,0,14,0,0,0,0,0,0,40,0,0,12,0,0,2,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1704,22,73,0,0,10,0,0,3,0,0,0,0
Kitchen|Preparing,0,0,1,0,0,0,0,0,5,0,0,8,112,122,0,0,42,0,0,11,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,1,45,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,168,0,0,12,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,2337,623,0,0,52,0,0,0,0
Living_room|Eating,0,0,57,0,0,0,67,0,0,0,0,5,0,23,0,114,1482,0,0,69,4,0,0,0
Living_room|Watching_TV,0,168,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3844,0,0,0,0,0,0
Office|Cleaning,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,1,0,0
Office|Computing,0,4,21,0,0,0,200,0,0,0,0,0,3,0,0,112,1,36,0,52239,743,1,0,2
Office|Watching_TV,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,532,1355,3,1,0
Staircase|Going_down,0,49,30,0,0,0,0,0,20,3,0,0,0,0,0,1,19,16,0,32,9,4,0,0
Staircase|Going_up,0,29,3,0,0,0,23,1,16,0,0,0,0,0,0,21,22,63,0,7,0,1,0,4
Toilet|Using_the_toilet,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,20,0,50,0,0,0,23
