,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,64,0,0,0,1,28,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
Bathroom|Showering,0,2554,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5
Bathroom|Using_the_sink,0,455,441,0,0,0,0,0,4,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,2
Bathroom|Using_the_toilet,0,17,234,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2
Bedroom|Cleaning,0,0,0,0,0,0,8,44,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,0,32,265,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
Bedroom|Napping,0,0,0,0,0,0,2947,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,0,0,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,286,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,16
Entrance|Leaving,0,0,1,0,0,0,0,0,170,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,15,0,0,0,0,0,0,0,6
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1815,0,26,0,0,2,0,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,7,0,268,0,1,18,0,0,0,0,0,0,0,2
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,2,0,957,1,1,25,0,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,136,0,0,0,0,0,0,0,4
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3325,125,0,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,1254,532,0,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3850,0,0,0,0,0,0,13
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,73,7,0,0,0,0
Office|Computing,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28,0,10,0,53505,10,0,0,0,12
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1873,0,0,0,1
Staircase|Going_down,0,0,1,0,0,0,2,0,47,0,0,0,0,5,0,31,12,7,0,2,2,0,0,0,59
Staircase|Going_up,0,0,1,0,0,0,0,0,27,0,0,0,0,5,0,49,33,32,0,0,0,0,0,0,67
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,78,5,12,0,0,0,0,0,0,17
Transition,0,21,11,0,0,0,33,44,17,0,0,8,0,16,0,396,134,32,0,17,5,0,0,0,372
