,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,64,1,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bathroom|Showering,0,2561,64,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Bathroom|Using_the_sink,0,362,530,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
Bathroom|Using_the_toilet,0,0,137,117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
Bedroom|Cleaning,0,0,0,0,0,41,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Bedroom|Dressing,0,0,0,0,0,156,19,112,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11
Bedroom|Napping,0,0,0,0,0,5,3033,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Bedroom|Reading,0,0,0,0,0,1,0,3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,223,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Entrance|Leaving,0,0,0,0,0,0,0,0,40,135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,7,0,0,0,0,0,0,0,21
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1804,0,29,0,0,6,0,0,0,0,0,0,0,5
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,21,244,0,5,1,0,0,0,0,0,0,0,19
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,1,1,942,1,6,20,0,0,0,0,0,0,0,4
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,73,80,0,0,0,0,0,0,0,32
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3381,57,0,0,0,0,0,0,0,16
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,9,0,7,3,146,1677,0,0,0,0,0,0,0,56
Living_room|Watching_TV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4104,0,0,0,0,0,0,10
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,4
Office|Computing,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,1,0,53078,0,0,0,0,20
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1857,0,0,0,2
Staircase|Going_down,0,0,0,0,0,0,0,0,51,2,0,0,1,0,1,3,5,0,0,0,4,38,0,0,70
Staircase|Going_up,0,0,0,0,0,0,1,0,31,1,0,0,0,3,1,4,13,15,0,2,0,1,20,0,100
Toilet|Using_the_toilet,0,0,0,0,0,0,3,0,18,0,0,0,0,1,0,4,1,2,0,0,0,0,0,13,97
Transition,0,22,18,1,0,5,18,32,15,6,0,9,1,18,3,86,101,7,0,17,5,2,1,0,793
