,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,67,4,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bathroom|Showering,0,2652,54,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Bathroom|Using_the_sink,0,393,493,2,0,0,0,0,1,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,8
Bathroom|Using_the_toilet,0,0,89,176,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,3
Bedroom|Cleaning,1,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Bedroom|Dressing,0,0,0,0,0,137,20,109,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9
Bedroom|Napping,0,0,0,0,0,6,2898,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bedroom|Reading,0,0,0,0,0,1,0,3277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,253,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Entrance|Leaving,0,0,0,0,0,0,0,0,50,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,14,0,0,0,0,0,0,0,9
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1767,4,24,0,0,5,0,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,12,235,1,4,1,0,0,0,0,0,0,0,7
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,5,6,0,0,0,0,0,0,0,3
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,89,65,0,0,0,0,0,0,0,33
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3396,45,0,0,0,0,0,0,0,4
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,179,1597,0,0,0,0,0,0,0,53
Living_room|Watching_TV,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4086,0,0,0,0,0,0,8
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,8
Office|Computing,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,2,0,53227,0,0,0,0,19
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1826,0,0,0,7
Staircase|Going_down,0,3,0,0,0,0,0,0,34,24,0,13,0,7,1,1,4,0,0,0,0,5,7,0,73
Staircase|Going_up,0,7,0,0,0,0,0,0,29,6,0,14,0,0,0,3,23,10,0,0,0,2,26,0,70
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,40,7,0,0,0,0,0,0,68
Transition,0,36,13,3,0,8,16,27,30,2,0,23,11,24,2,106,89,25,0,21,3,0,2,0,739
