,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0
Bathroom|Showering,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532,0,9,0,0,0,0,0
Bathroom|Using_the_sink,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,6,0,450,0,203,0,0,0,0,0
Bathroom|Using_the_toilet,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0
Bedroom|Cleaning,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,145,14,108,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0
Bedroom|Napping,0,0,4,0,0,2,2690,7,0,0,0,0,0,0,0,1,1,0,0,292,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,33,0,3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,9,0,0,0,0,5,0,0,0,0,0,0,8,0,1,6,276,0,0,0,0,0,0,0
Entrance|Leaving,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,187,0,6,0,0,0,0,0
Kitchen|Cleaning,0,0,0,0,0,0,9,0,0,0,0,0,0,34,0,10,15,0,0,1,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,4,0,0,0,0,1675,0,96,0,5,28,0,0,3,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,4,0,0,0,0,13,0,226,0,29,18,0,0,17,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,1,0,0,0,0,0,0,893,0,16,74,0,0,1,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,143,33,0,0,12,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,1093,0,0,0,0,0,0,0,0,2006,268,0,0,57,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,289,0,0,0,0,2,0,8,0,717,743,0,0,65,0,0,0,0,0
Living_room|Watching_TV,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3922,0,25,0,0,0,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,72,0,0,0,0,0
Office|Computing,0,2,0,0,0,0,332,0,0,0,0,0,0,0,0,1,3,47,0,52857,0,0,0,0,0
Office|Watching_TV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1824,0,0,0,0,0
Staircase|Going_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,95,0,45,0,0,0,0,0
Staircase|Going_up,0,4,0,0,0,0,40,0,0,0,0,0,0,1,0,25,8,105,0,8,0,0,0,0,0
Toilet|Using_the_toilet,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,45,0,53,0,0,0,0,0
Transition,0,1,0,0,0,10,583,34,0,0,0,7,0,18,0,141,59,175,0,143,0,0,0,0,0
