,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,80,0,0,14,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
Bathroom|Showering,0,2663,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bathroom|Using_the_sink,0,448,466,0,0,0,7,0,2,1,0,0,0,0,0,7,3,0,0,0,0,0,0,0,24
Bathroom|Using_the_toilet,0,0,233,11,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10
Bedroom|Cleaning,0,0,0,0,0,20,2,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Bedroom|Dressing,0,0,0,0,0,193,28,60,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
Bedroom|Napping,0,0,0,0,0,7,3033,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
Bedroom|Reading,0,0,0,0,0,8,0,3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,238,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Entrance|Leaving,0,0,0,0,0,0,0,0,163,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,17,0,0,0,0,0,0,0,20
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1821,1,50,0,0,6,0,0,0,0,0,0,0,1
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,21,54,188,0,1,16,0,0,2,0,0,0,0,6
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,3,967,0,2,26,0,0,0,0,0,0,0,6
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,31,97,0,0,0,0,0,0,0,45
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,70,0,0,0,0,0,0,0,12
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,17,1,4,0,82,1659,1,0,0,0,0,0,0,65
Living_room|Watching_TV,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3957,0,0,0,1,0,0,15
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,0,0,0,2
Office|Computing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,4,0,52892,1,0,0,0,27
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1759,0,0,0,7
Staircase|Going_down,0,0,0,0,0,0,0,0,32,2,0,0,1,0,0,2,24,0,0,0,1,53,7,0,45
Staircase|Going_up,0,0,0,0,0,0,0,0,22,0,0,0,0,2,4,4,41,9,0,1,0,19,22,0,45
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,19,1,0,0,0,0,0,0,111
Transition,0,22,8,0,0,6,18,26,20,1,0,26,2,21,0,64,169,12,0,15,6,0,2,0,773
