,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,0,10,0,11,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,44
Bathroom|Showering,0,2674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Using_the_sink,0,463,92,0,0,0,5,0,0,0,0,0,0,0,0,166,17,0,0,0,0,0,0,0,142
Bathroom|Using_the_toilet,0,0,39,126,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,44
Bedroom|Cleaning,0,0,0,0,0,20,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Bedroom|Dressing,0,0,0,2,0,253,13,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16
Bedroom|Napping,0,0,0,0,0,10,3005,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
Bedroom|Reading,0,0,0,0,0,11,0,3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,39,0,0,0,0,0,0,193,50,0,0,0,0,0,0,0,4,0,0,0,2,3,0,5
Entrance|Leaving,0,10,0,0,0,0,0,0,75,114,0,0,0,0,0,0,0,3,0,0,0,0,2,0,14
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,11,0,0,0,0,0,0,0,16
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1797,8,65,0,0,2,0,0,0,0,0,0,0,11
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,2,67,190,4,8,11,0,0,0,0,0,0,0,11
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,1,966,13,5,12,0,0,0,0,0,0,0,6
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,86,38,0,0,0,0,0,0,0,23
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3455,21,0,0,0,0,0,0,0,7
Living_room|Eating,0,0,13,0,0,0,0,0,0,0,0,13,0,5,32,165,1507,0,0,0,0,0,0,0,55
Living_room|Watching_TV,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3964,0,0,0,0,0,0,13
Office|Cleaning,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,0,0,0,0
Office|Computing,0,3,7,1,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,53176,5,0,0,0,9
Office|Watching_TV,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,174,1707,0,0,0,0
Staircase|Going_down,0,15,5,0,0,0,0,0,22,0,0,0,0,0,4,4,13,1,0,0,0,91,2,0,26
Staircase|Going_up,0,25,1,0,0,0,0,0,22,0,0,0,0,5,9,2,0,11,0,0,0,7,27,0,89
Toilet|Using_the_toilet,0,25,23,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,0,0,0,0,58
Transition,0,113,34,12,0,9,13,15,8,2,0,29,1,13,37,118,54,16,0,19,3,4,8,0,641
