,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,56
Bathroom|Showering,0,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Using_the_sink,0,475,20,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,104
Bathroom|Using_the_toilet,0,0,39,9,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,17,0,0,0,0,151
Bedroom|Cleaning,0,0,0,0,0,48,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Bedroom|Dressing,0,0,2,0,0,212,12,36,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,22
Bedroom|Napping,0,0,0,0,0,7,2920,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
Bedroom|Reading,0,0,0,0,0,9,0,3289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,36,0,0,0,0,0,0,216,43,0,0,1,2,0,0,0,1,0,0,0,0,0,0,4
Entrance|Leaving,0,14,0,0,0,0,0,0,90,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,1,0,0,0,0,0,0,26
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1755,4,69,0,0,7,0,0,0,0,0,0,0,5
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,10,24,218,0,1,34,0,0,0,0,0,0,0,11
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,1,934,2,3,16,0,0,0,0,0,0,0,12
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,23,70,0,0,0,0,0,0,0,71
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,498,0,0,0,0,0,0,0,58
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,313,1461,0,0,0,0,0,0,0,65
Living_room|Watching_TV,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4034,0,0,0,0,0,0,4
Office|Cleaning,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10,0,0,0,0
Office|Computing,0,11,2,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,53292,10,0,0,0,14
Office|Watching_TV,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,1738,0,0,0,0
Staircase|Going_down,0,63,0,0,0,0,0,0,24,0,0,0,4,11,0,9,13,0,0,0,0,0,0,0,40
Staircase|Going_up,0,60,1,0,0,0,0,0,19,0,0,0,1,4,0,38,11,13,0,0,0,0,0,0,49
Toilet|Using_the_toilet,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,36
Transition,0,115,4,0,0,14,19,24,13,2,0,20,0,28,2,99,78,11,0,17,0,0,0,0,676
