,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,68,0,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bathroom|Showering,0,2439,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5
Bathroom|Using_the_sink,22,145,750,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,3
Bathroom|Using_the_toilet,0,0,33,254,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,3
Bedroom|Cleaning,0,0,0,0,45,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bedroom|Dressing,0,0,0,0,3,279,6,17,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8
Bedroom|Napping,0,0,0,0,0,16,2986,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
Bedroom|Reading,0,0,0,0,0,6,0,3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,237,38,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5
Entrance|Leaving,0,0,0,0,0,0,0,0,16,162,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,61,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,1,1862,25,3,0,0,0,0,0,0,0,0,0,0,6
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,7,266,14,0,1,0,0,0,0,0,0,0,0,5
Kitchen|Washing_the_dishes,0,0,1,0,0,0,0,0,0,0,19,9,10,906,16,3,8,0,0,0,0,0,0,0,3
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,9,0,1,4,157,11,8,0,0,0,0,0,0,0,11
Living_room|Computing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,3357,4,0,0,3,0,0,0,0,14
Living_room|Eating,0,0,0,0,0,0,2,0,0,0,7,5,0,3,35,1,1763,0,0,0,0,0,0,0,48
Living_room|Watching_TV,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3916,0,0,0,3,0,0,11
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,3,0,0,0,0,4
Office|Computing,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,53272,0,0,0,0,21
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,58,1776,0,0,0,8
Staircase|Going_down,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,1,1,113,20,0,23
Staircase|Going_up,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,2,1,0,1,0,4,163,0,22
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,2,107,6
Transition,6,7,24,3,2,30,5,21,4,2,8,16,22,6,58,25,25,12,2,29,4,30,29,1,819
