,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,64,0,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bathroom|Showering,0,2594,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4
Bathroom|Using_the_sink,5,93,765,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,13
Bathroom|Using_the_toilet,0,0,11,253,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Bedroom|Cleaning,1,0,0,0,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bedroom|Dressing,0,0,0,0,0,243,5,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8
Bedroom|Napping,0,0,0,0,0,9,2984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
Bedroom|Reading,0,0,0,0,0,13,0,3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,305,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
Entrance|Leaving,0,0,0,0,0,0,0,0,59,126,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,74,0,0,1,2,0,1,0,0,0,0,0,0,0,1
Kitchen|Cooking,1,0,0,0,0,0,0,0,0,0,0,1802,9,10,0,0,4,0,0,0,0,0,0,0,9
Kitchen|Preparing,1,0,0,0,0,0,0,0,5,0,0,23,195,35,0,0,0,0,0,0,0,10,0,0,20
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,10,0,3,979,17,1,5,0,0,0,0,0,0,0,7
Living_room|Cleaning,0,0,0,0,0,0,0,2,0,0,17,0,0,1,126,28,11,0,0,0,0,0,0,0,4
Living_room|Computing,0,0,0,0,0,0,4,0,0,0,4,0,0,0,27,3357,11,0,0,0,0,0,0,0,6
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,13,2,0,5,29,16,1711,0,0,0,0,0,0,0,4
Living_room|Watching_TV,0,3,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,4017,0,0,0,5,0,0,6
Office|Cleaning,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,23,1,0,0,0,1
Office|Computing,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,53158,16,7,1,0,21
Office|Watching_TV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1886,4,0,0,8
Staircase|Going_down,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,4,0,0,2,0,143,3,0,10
Staircase|Going_up,3,1,0,0,1,2,0,0,6,0,0,0,0,0,0,1,1,1,0,0,0,13,158,2,10
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,0,100,8
Transition,2,6,16,2,2,19,12,19,24,0,19,9,3,3,56,41,40,13,3,16,1,23,8,1,815
