,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,2,0,65,3,0,16,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bathroom|Showering,0,2573,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bathroom|Using_the_sink,0,444,453,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1
Bathroom|Using_the_toilet,0,0,131,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bedroom|Cleaning,1,0,0,0,0,23,0,16,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0
Bedroom|Dressing,0,0,0,0,0,17,28,255,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,0,2,2958,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,0,0,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,286,9,0,0,4,0,0,2,2,2,0,0,0,0,2,0
Entrance|Leaving,0,0,0,0,0,0,0,0,178,28,0,0,0,1,0,0,5,0,0,0,0,0,1,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,19,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1823,3,16,0,0,8,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,14,27,236,8,6,13,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,987,6,7,13,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,17,58,63,50,0,0,0,0,0,1,1
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3386,37,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,11,0,6,14,134,1664,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,4020,0,0,0,0,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12,0,1,0
Office|Computing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,4,2,0,53204,2,2,1,1
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1881,0,0,0
Staircase|Going_down,0,0,0,0,0,0,0,0,53,5,0,3,2,2,0,1,12,4,0,4,4,73,27,0
Staircase|Going_up,0,8,2,0,0,0,0,0,53,0,0,0,0,4,8,16,18,11,0,2,0,5,63,0
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,13,0,0,0,0,3,1,4,4,8,0,0,0,0,0,90
