,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,65,0,8,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bathroom|Showering,0,2562,56,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0
Bathroom|Using_the_sink,25,77,801,7,0,5,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0
Bathroom|Using_the_toilet,14,2,33,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Cleaning,0,0,0,0,33,17,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,1,1,253,10,33,0,0,0,0,2,0,0,4,3,0,0,0,0,0,1,0
Bedroom|Napping,0,0,1,0,0,13,2950,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,11,0,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,3,0,0,0,0,243,69,0,0,0,0,0,0,0,2,0,3,0,6,1,0
Entrance|Leaving,0,0,0,0,0,0,0,0,29,166,0,0,0,0,2,0,2,2,0,0,0,2,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,55,0,0,2,14,0,0,0,0,0,0,0,0,1
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,4,1678,36,34,8,0,37,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,1,0,282,21,15,0,4,0,0,0,0,2,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,3,3,24,904,13,0,5,0,0,0,0,2,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,6,0,5,1,170,5,15,0,0,0,0,1,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,3285,60,0,0,1,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,4,3,1,5,29,25,1759,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,3998,0,0,0,17,1,0
Office|Cleaning,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,65,3,5,1,0,0
Office|Computing,0,1,1,0,0,2,9,0,0,0,0,0,1,0,0,7,4,1,17,53263,7,4,1,1
Office|Watching_TV,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,18,1870,2,0,2
Staircase|Going_down,0,1,0,1,0,0,0,0,7,2,0,0,5,0,1,1,4,6,0,0,0,136,20,0
Staircase|Going_up,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0,3,1,9,133,8
Toilet|Using_the_toilet,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,98
