,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,45,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1
Bathroom|Showering,0,2460,127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1
Bathroom|Using_the_sink,21,328,546,25,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,8,5,0
Bathroom|Using_the_toilet,0,0,11,223,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,1
Bedroom|Cleaning,0,0,0,0,40,5,1,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,1,0
Bedroom|Dressing,0,0,0,0,0,183,20,89,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1
Bedroom|Napping,0,0,0,0,0,7,2921,4,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0
Bedroom|Reading,0,0,0,0,0,9,0,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,5,0,200,89,0,0,0,0,0,0,2,0,0,0,0,12,0,0
Entrance|Leaving,0,0,0,0,0,0,5,0,43,131,0,0,0,0,1,0,0,0,0,0,0,4,2,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,13,0,0,30,17,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1855,13,10,1,1,7,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,199,52,4,6,0,0,0,4,0,1,0,1
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,3,0,49,930,15,4,4,0,0,0,0,2,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,1,0,4,3,112,41,6,0,0,0,0,2,0,0
Living_room|Computing,0,0,0,0,0,0,3,0,0,0,0,0,0,0,92,3298,128,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,2,3,10,1,31,360,1429,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,3921,0,0,0,7,5,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,86,0,0,0,0
Office|Computing,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,5,1,2,0,53280,2,3,6,2
Office|Watching_TV,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,90,1827,3,2,0
Staircase|Going_down,0,1,1,0,0,0,0,0,12,11,0,0,1,0,3,0,1,1,1,1,2,104,13,8
Staircase|Going_up,0,0,0,1,0,0,0,0,10,3,0,0,1,0,13,34,6,15,1,5,4,63,37,5
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,1,0,1,13,0,0,64
