,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,76,0,12,4,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
Bathroom|Showering,0,2569,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
Bathroom|Using_the_sink,19,100,779,10,0,0,1,0,3,1,0,0,1,1,0,4,3,2,0,0,0,5,12,0,7
Bathroom|Using_the_toilet,6,5,38,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6
Bedroom|Cleaning,0,0,0,0,31,23,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0
Bedroom|Dressing,0,0,0,0,0,259,10,30,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9
Bedroom|Napping,0,0,0,0,0,3,3080,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,3,0,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,142,131,0,5,1,1,0,0,0,1,0,0,0,1,3,0,4
Entrance|Leaving,0,0,0,0,0,1,0,0,27,148,0,2,3,0,0,0,0,13,0,0,0,4,1,0,7
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,29,0,12,12,0,0,0,0,0,0,0,0,0,0,19
Kitchen|Cooking,0,0,0,0,0,1,0,0,0,0,0,1761,25,1,0,0,4,0,0,0,0,0,0,0,9
Kitchen|Preparing,0,0,0,0,0,0,0,1,0,0,0,2,248,12,4,0,2,1,0,0,0,0,2,1,12
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,3,58,903,0,3,3,2,0,0,0,0,0,0,15
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,3,0,0,6,12,63,22,2,0,0,0,0,0,0,93
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3433,18,3,0,0,0,0,1,0,31
Living_room|Eating,0,0,0,0,1,0,1,0,1,0,0,33,1,1,1,5,1655,35,0,0,0,1,1,1,30
Living_room|Watching_TV,0,19,13,0,0,0,0,0,6,8,0,1,9,0,0,0,0,3945,0,0,0,1,2,0,4
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4,1,2,0,0,0
Office|Computing,0,0,0,1,0,1,83,0,0,0,0,1,4,0,0,0,1,1,4,53111,14,0,1,6,7
Office|Watching_TV,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,18,1835,1,2,0,0
Staircase|Going_down,0,0,0,0,0,2,0,0,10,8,0,0,4,0,0,1,3,2,0,0,1,87,43,4,12
Staircase|Going_up,1,0,0,2,0,0,0,0,14,8,0,0,1,0,0,0,1,9,0,0,2,9,121,2,9
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,2,4,95,6
Transition,5,4,12,14,1,9,23,30,28,18,0,17,24,2,0,86,62,20,2,19,1,15,55,1,727
