,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,64,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Bathroom|Showering,0,2633,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
Bathroom|Using_the_sink,37,428,425,13,0,0,0,0,2,0,0,0,0,0,0,16,2,0,0,0,0,7,4,1,20
Bathroom|Using_the_toilet,0,0,18,237,0,0,4,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,5
Bedroom|Cleaning,0,0,0,0,35,1,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4
Bedroom|Dressing,0,0,1,0,15,168,30,96,0,0,0,1,0,0,0,6,0,1,0,3,0,0,1,0,2
Bedroom|Napping,0,0,0,0,0,11,2967,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
Bedroom|Reading,0,0,0,0,0,3,0,3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,200,78,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2
Entrance|Leaving,0,0,0,0,0,0,0,0,66,128,0,0,0,0,0,1,0,0,0,0,0,3,2,0,9
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,18,1,6,13,0,1,14,5,0,0,0,0,0,0,9
Kitchen|Cooking,0,0,1,0,0,0,0,0,0,0,2,1859,14,12,0,0,5,1,0,0,0,0,2,0,10
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,7,151,83,12,2,5,0,0,0,0,0,0,0,16
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,33,982,2,7,7,0,0,0,0,0,0,0,4
Living_room|Cleaning,0,0,0,0,0,0,1,0,0,0,1,0,2,1,62,38,36,0,0,0,0,0,0,0,33
Living_room|Computing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3381,58,0,0,0,0,0,0,0,6
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,6,3,4,3,3,310,1447,2,0,0,0,0,0,0,9
Living_room|Watching_TV,0,2,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3957,0,0,0,2,10,0,4
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,14,0,0,0,3
Office|Computing,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,1,53091,8,0,2,1,13
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,1779,1,7,0,10
Staircase|Going_down,0,0,0,0,0,0,1,0,9,3,0,0,0,0,0,1,3,0,0,2,1,108,15,0,33
Staircase|Going_up,0,0,0,0,0,0,1,0,7,0,0,0,0,0,8,22,9,7,0,1,0,36,41,2,65
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,15,0,80,11
Transition,3,14,7,7,0,8,30,18,8,2,1,9,11,8,33,119,53,10,2,25,1,16,36,6,712
