,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,41,39,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
Bathroom|Showering,0,2624,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
Bathroom|Using_the_sink,0,410,162,27,0,0,153,0,0,0,0,0,0,0,0,55,2,21,0,54,0,0,0,0,55
Bathroom|Using_the_toilet,0,0,5,69,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,1
Bedroom|Cleaning,0,1,14,9,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Bedroom|Dressing,0,0,7,0,0,141,17,82,7,3,0,0,0,0,0,3,4,4,0,1,0,0,0,0,4
Bedroom|Napping,0,2,5,8,0,2,2949,6,0,0,0,0,0,0,0,11,1,1,0,3,0,0,0,0,1
Bedroom|Reading,0,0,0,0,0,383,0,2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,82,3,0,0,0,0,0,168,31,0,2,0,0,0,0,5,15,0,0,0,0,0,0,7
Entrance|Leaving,0,86,2,0,0,0,0,0,70,27,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1
Kitchen|Cleaning,0,0,2,4,0,0,0,0,0,0,0,0,0,37,0,0,17,0,0,0,0,0,0,0,9
Kitchen|Cooking,0,0,0,0,0,0,3,0,0,0,0,1757,61,41,0,0,17,0,0,10,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,16,130,79,0,0,35,0,0,15,0,0,0,0,1
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,2,31,858,0,5,73,0,0,1,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,14,167,0,0,8,0,0,0,0,0
Living_room|Computing,0,0,3,0,0,0,507,0,0,0,0,0,0,0,0,2560,228,55,0,23,26,0,0,0,0
Living_room|Eating,0,0,9,0,0,0,199,0,0,0,0,1,0,12,0,221,1279,0,0,41,4,0,0,0,25
Living_room|Watching_TV,0,846,8,0,0,0,0,0,2,0,0,0,0,0,0,0,7,3066,0,18,0,0,0,0,5
Office|Cleaning,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,41,21,0,0,0,0
Office|Computing,0,7,83,107,0,0,254,0,0,0,0,0,0,0,0,0,1,10,0,52335,389,0,0,0,62
Office|Watching_TV,0,15,23,0,0,0,118,0,3,0,0,0,0,0,0,0,0,0,0,1310,427,0,0,0,0
Staircase|Going_down,0,34,20,0,0,0,1,0,49,0,0,2,0,0,0,1,25,13,0,38,2,0,0,0,3
Staircase|Going_up,0,39,15,1,0,0,25,0,18,1,0,0,0,0,0,5,19,39,0,3,1,0,0,0,9
Toilet|Using_the_toilet,0,16,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,22,0,41,12,0,0,4,3
Transition,0,97,50,7,0,10,48,34,19,4,0,11,6,9,0,45,151,59,0,87,16,0,0,0,518
