,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,68,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
Bathroom|Showering,0,2642,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11
Bathroom|Using_the_sink,1,399,503,0,0,1,0,0,3,2,0,0,0,0,1,1,13,0,0,0,1,0,3,0,24
Bathroom|Using_the_toilet,0,0,50,189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,1
Bedroom|Cleaning,0,0,0,0,3,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Bedroom|Dressing,0,0,0,0,0,279,4,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
Bedroom|Napping,0,0,0,0,0,86,2859,16,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,3
Bedroom|Reading,0,0,0,0,0,61,0,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,193,90,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26
Entrance|Leaving,0,0,0,0,0,0,0,0,73,105,0,0,0,0,0,0,2,12,0,0,0,2,10,0,14
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0,1,0,0,0,0,0,0,0,10
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1722,0,73,6,0,9,1,0,0,0,0,0,0,4
Kitchen|Preparing,0,0,0,0,0,0,0,3,0,0,0,1,0,259,20,13,9,0,0,0,0,0,0,0,3
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,5,0,956,11,2,7,0,0,0,0,0,0,0,1
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,6,144,7,28,0,0,0,0,0,2,0,7
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3250,67,0,0,0,0,0,0,0,4
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,6,0,3,53,10,1704,0,0,0,0,0,0,0,100
Living_room|Watching_TV,0,0,0,0,0,0,0,0,15,10,0,0,0,0,2,0,2,3931,0,2,0,0,2,0,36
Office|Cleaning,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,13,46,0,0,0,8
Office|Computing,0,0,0,0,0,18,8,1,0,1,0,0,0,0,0,0,22,0,0,53086,36,0,1,0,32
Office|Watching_TV,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,232,1652,0,0,0,22
Staircase|Going_down,0,0,0,0,0,0,0,2,6,30,0,0,0,0,10,0,7,3,0,0,0,0,87,0,19
Staircase|Going_up,0,0,0,0,0,0,0,0,8,33,0,0,0,0,3,2,5,2,0,1,0,0,113,0,11
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,9,100,4
Transition,0,21,9,0,0,46,0,6,32,20,0,9,0,8,121,12,101,7,0,34,1,0,21,0,700
