,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,80,0,11,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2590,64,0,0,2,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0
Bathroom|Using_the_sink,45,120,743,27,0,1,1,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,2,0
Bathroom|Using_the_toilet,11,0,7,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Cleaning,0,0,0,0,54,9,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
Bedroom|Dressing,0,0,0,0,1,269,6,18,0,0,0,0,0,1,0,0,6,0,0,2,0,1,0,0
Bedroom|Napping,0,0,0,0,0,12,2984,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0
Bedroom|Reading,0,0,0,0,0,5,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,1,0,0,0,0,237,74,0,0,0,0,0,1,0,2,0,0,0,6,5,0
Entrance|Leaving,0,0,0,0,0,0,0,0,15,152,0,0,0,0,0,0,3,0,0,0,0,8,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,49,0,3,11,11,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1829,32,6,0,0,22,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,4,271,6,4,0,0,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,1,40,930,14,2,3,0,0,0,0,1,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,2,0,16,12,158,7,15,0,0,0,0,1,0,0
Living_room|Computing,0,0,0,0,0,2,10,0,0,0,0,0,1,2,69,3279,28,0,0,1,0,1,5,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,1,3,8,2,13,2,1839,0,0,0,0,1,0,0
Living_room|Watching_TV,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4073,0,0,0,9,5,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,9,0,0,0,0
Office|Computing,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,3,0,8,52955,7,3,1,0
Office|Watching_TV,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,123,1798,2,0,0
Staircase|Going_down,0,0,1,0,0,1,0,0,1,2,0,0,5,0,2,2,0,6,0,1,0,150,12,0
Staircase|Going_up,1,1,0,1,0,2,3,0,3,1,0,0,0,0,0,2,5,7,0,5,0,5,169,0
Toilet|Using_the_toilet,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,1,128
