,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,63,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
Bathroom|Showering,0,2252,329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
Bathroom|Using_the_sink,10,216,586,46,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,10,0
Bathroom|Using_the_toilet,0,0,5,236,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0
Bedroom|Cleaning,0,0,0,0,35,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Bedroom|Dressing,0,0,0,0,0,201,18,71,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0
Bedroom|Napping,0,0,0,0,0,8,2971,2,0,0,0,0,0,0,0,13,0,0,0,17,0,0,1,0
Bedroom|Reading,0,0,0,0,0,6,0,3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,7,0,0,0,0,0,1,277,0,0,0,1,0,1,0,0,0,0,0,0,8,2,0
Entrance|Leaving,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,1,0,0,0,0,0,11,3,0
Kitchen|Cleaning,0,0,0,0,0,0,0,3,0,0,27,0,2,23,9,2,2,0,0,0,0,0,0,2
Kitchen|Cooking,0,0,0,0,4,6,8,0,0,0,2,1817,21,9,0,1,10,0,0,0,0,2,4,0
Kitchen|Preparing,0,0,0,0,0,0,7,0,0,0,0,1,206,47,10,8,2,0,0,1,0,2,7,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,6,0,0,0,4,81,845,9,11,6,0,0,0,0,1,4,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,2,1,13,3,80,84,5,0,0,1,0,8,9,0
Living_room|Computing,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3329,48,0,0,6,0,5,9,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,4,17,10,0,19,501,1307,0,0,0,0,13,15,0
Living_room|Watching_TV,0,1,2,5,0,0,0,0,6,0,0,0,0,0,0,0,2,3790,0,0,0,48,39,4
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,66,0,0,0,0
Office|Computing,0,0,0,2,0,0,18,0,0,0,0,0,1,0,0,48,19,0,6,53317,41,0,3,20
Office|Watching_TV,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,110,1694,0,5,0
Staircase|Going_down,0,0,2,1,0,1,0,0,10,0,0,0,1,0,2,1,3,2,1,6,3,98,37,0
Staircase|Going_up,1,1,1,0,0,0,0,0,11,0,0,0,0,0,4,16,3,0,1,5,2,41,124,1
Toilet|Using_the_toilet,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,37,11,0,0,17,0,12,1,27
