,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,57,0,27,0,3,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,1976,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0
Bathroom|Using_the_sink,29,316,266,0,0,1,57,0,0,0,0,0,0,0,0,150,6,56,0,32,0,0,0,0,21
Bathroom|Using_the_toilet,0,0,118,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,81,11,0,0,0,0
Bedroom|Cleaning,5,0,0,0,2,12,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bedroom|Dressing,1,2,6,0,0,195,8,66,0,0,0,0,0,0,0,5,1,1,0,4,0,0,0,0,3
Bedroom|Napping,0,0,1,0,0,6,2257,6,0,0,0,0,0,0,0,701,4,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,76,0,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,29,0,0,0,0,0,0,135,116,0,0,0,0,0,6,0,12,0,0,0,0,0,0,6
Entrance|Leaving,0,6,0,0,0,0,0,0,45,143,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0
Kitchen|Cleaning,1,0,2,0,0,0,1,0,0,0,0,0,9,26,0,8,19,0,0,0,0,0,0,0,6
Kitchen|Cooking,0,0,0,0,0,0,1,0,0,0,0,1794,32,29,0,0,14,0,0,2,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,156,74,0,0,47,0,0,14,1,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,31,898,0,5,41,0,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,13,166,0,0,13,0,0,0,0,2
Living_room|Computing,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,3357,118,0,0,47,0,0,0,0,0
Living_room|Eating,0,0,23,0,0,0,111,0,0,0,0,4,1,26,0,205,1375,1,0,40,6,0,0,0,16
Living_room|Watching_TV,1,151,12,0,0,0,0,0,6,0,0,0,0,0,0,0,17,3743,0,0,0,0,0,0,0
Office|Cleaning,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,1,0,0,0
Office|Computing,37,17,44,0,0,6,91,0,2,0,0,0,0,0,0,105,8,12,1,52711,338,0,0,2,49
Office|Watching_TV,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,790,1064,1,0,0,1
Staircase|Going_down,0,47,32,0,0,0,0,0,11,4,0,1,1,0,0,0,17,15,0,39,2,1,0,0,3
Staircase|Going_up,0,53,4,0,0,1,10,0,19,0,0,0,0,0,0,30,20,51,0,3,0,0,0,4,8
Toilet|Using_the_toilet,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,18,0,45,0,0,0,11,3
Transition,16,91,66,0,0,16,36,23,25,2,1,9,12,8,0,49,124,51,0,80,8,0,0,3,496
