,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,89,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3
Bathroom|Showering,0,2598,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Bathroom|Using_the_sink,55,255,464,1,0,0,0,0,0,0,1,0,0,0,0,74,9,0,0,0,0,0,0,0,16
Bathroom|Using_the_toilet,0,0,6,233,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0
Bedroom|Cleaning,5,0,0,0,14,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,6,2,0,230,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10
Bedroom|Napping,0,0,0,5,0,13,2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bedroom|Reading,0,0,0,0,0,34,0,3227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,2,0,0,0,0,0,0,269,24,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7
Entrance|Leaving,0,0,0,0,0,0,1,0,46,133,1,0,0,0,0,0,0,1,0,0,0,2,0,0,7
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,35,0,0,35,8,0,0,0,0,0,0,0,0,0,1
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,1,1792,48,23,4,2,1,0,0,1,0,0,0,0,2
Kitchen|Preparing,0,0,1,0,0,0,0,0,0,0,0,69,206,15,6,1,0,2,0,0,0,2,0,0,10
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,2,0,30,6,935,14,0,4,0,0,0,0,1,0,0,3
Living_room|Cleaning,1,0,5,0,0,0,0,0,0,0,13,0,0,11,157,4,7,0,0,0,0,0,0,0,2
Living_room|Computing,0,0,39,0,0,0,0,0,0,0,2,0,0,0,102,3204,28,0,0,0,0,0,0,0,9
Living_room|Eating,0,0,82,13,0,0,0,0,0,1,14,4,2,9,59,343,1295,0,0,0,0,0,0,0,6
Living_room|Watching_TV,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4021,0,1,0,6,4,0,23
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,20,2,0,0,0,2
Office|Computing,1,1,4,4,0,0,3,0,0,0,0,1,0,0,0,4,1,0,25,53259,10,0,0,0,19
Office|Watching_TV,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,133,1743,0,0,0,2
Staircase|Going_down,0,14,8,0,0,1,2,0,1,0,0,2,1,0,4,2,5,7,0,2,0,98,2,0,32
Staircase|Going_up,3,27,28,5,0,0,0,0,4,0,0,0,0,0,21,12,2,5,0,1,0,3,15,6,43
Toilet|Using_the_toilet,5,0,10,0,0,0,0,0,0,0,0,3,0,0,0,22,34,0,0,0,0,0,0,28,1
Transition,14,43,58,15,0,29,13,6,5,0,14,12,25,5,102,43,28,12,0,26,6,11,12,3,714
