,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,65,0,27,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,1,0,4
Bathroom|Showering,0,2357,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11
Bathroom|Using_the_sink,21,148,647,13,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,1,0,46
Bathroom|Using_the_toilet,0,0,29,204,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,8
Bedroom|Cleaning,0,0,0,0,47,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bedroom|Dressing,0,0,1,0,2,274,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,2,13,3051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bedroom|Reading,0,0,0,0,0,44,8,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,270,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
Entrance|Leaving,0,0,0,0,0,0,0,0,32,142,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,9,1760,54,8,0,0,0,0,0,0,0,0,0,0,11
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,33,2,213,56,1,1,1,0,0,0,0,0,0,0,17
Kitchen|Washing_the_dishes,0,0,0,0,0,0,1,0,0,0,28,2,1,934,0,2,4,0,0,1,0,0,0,0,14
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,17,0,0,5,8,17,6,0,0,0,0,0,0,0,133
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,3321,9,0,0,0,0,0,0,0,55
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,10,1,3,2,2,10,1776,0,0,0,0,0,0,0,71
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031,0,0,0,0,0,0,25
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,7
Office|Computing,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,53162,5,0,0,0,48
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1780,0,0,0,11
Staircase|Going_down,0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,0,2,5,0,2,0,76,34,0,43
Staircase|Going_up,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,3,0,2,164,0,26
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,101,6
Transition,1,8,18,2,0,33,5,9,12,0,26,7,12,4,6,28,47,1,2,18,5,3,17,2,921
